Round Number, No data in Sink
-1,0
1,1
2,92
3,181
4,271
5,357
6,445
7,536
8,624
9,633
10,640
11,727
12,812
13,906
14,996
15,1088
16,1179
17,1270
18,1358
19,1450
20,1543
21,1632
22,1721
23,1808
24,1898
25,1989
26,2079
27,2089
28,2181
29,2272
30,2307
31,2395
32,2484
33,2575
34,2671
35,2761
36,2852
37,2940
38,3026
39,3117
40,3212
41,3304
42,3392
43,3484
44,3575
45,3665
46,3744
47,3754
48,3848
49,3940
50,4031
51,4121
52,4130
53,4214
54,4305
55,4395
56,4484
57,4576
58,4665
59,4756
60,4847
61,4938
62,5027
63,5118
64,5208
65,5298
66,5307
67,5394
68,5487
69,5575
70,5645
71,5733
72,5823
73,5915
74,6007
75,6100
76,6191
77,6277
78,6364
79,6456
80,6549
81,6644
82,6736
83,6821
84,6909
85,6999
86,7085
87,7155
88,7250
89,7337
90,7428
91,7516
92,7606
93,7697
94,7788
95,7877
96,7972
97,8058
98,8127
99,8220
100,8311
101,8398
102,8491
103,8583
104,8673
105,8764
106,8858
107,8867
108,8956
109,9044
110,9132
111,9226
112,9306
113,9399
114,9492
115,9564
116,9656
117,9745
118,9838
119,9929
120,10017
121,10110
122,10198
123,10290
124,10383
125,10392
126,10480
127,10572
128,10661
129,10749
130,10839
131,10926
132,11008
133,11101
134,11193
135,11283
136,11293
137,11380
138,11473
139,11567
140,11659
141,11751
142,11844
143,11937
144,12030
145,12055
146,12141
147,12231
148,12318
149,12406
150,12494
151,12584
152,12673
153,12757
154,12852
155,12943
156,13028
157,13123
158,13215
159,13306
160,13396
161,13487
162,13577
163,13669
164,13763
165,13845
166,13936
167,14025
168,14034
169,14126
170,14219
171,14312
172,14399
173,14487
174,14577
175,14651
176,14741
177,14832
178,14925
179,15019
180,15105
181,15196
182,15206
183,15295
184,15394
185,15488
186,15583
187,15678
188,15773
189,15861
190,15955
191,16052
192,16147
193,16155
194,16245
195,16339
196,16436
197,16533
198,16631
199,16725
200,16817
201,16912
202,17009
203,17019
204,17116
205,17214
206,17317
207,17412
208,17505
209,17600
210,17693
211,17792
212,17893
213,17993
214,18085
215,18187
216,18284
217,18294
218,18389
219,18488
220,18587
221,18688
222,18789
223,18880
224,18961
225,19063
226,19163
227,19261
228,19357
229,19454
230,19546
231,19645
232,19743
233,19845
234,19940
235,20041
236,20144
237,20242
238,20343
239,20444
240,20517
241,20621
242,20718
243,20819
244,20917
245,21020
246,21120
247,21220
248,21320
249,21418
250,21503
251,21603
252,21704
253,21808
254,21911
255,22012
256,22114
257,22193
258,22296
259,22398
260,22498
261,22508
262,22609
263,22713
264,22811
265,22911
266,23011
267,23113
268,23213
269,23306
270,23394
271,23494
272,23595
273,23697
274,23799
275,23810
276,23915
277,24018
278,24123
279,24226
280,24325
281,24427
282,24518
283,24620
284,24722
285,24803
286,24903
287,25011
288,25112
289,25217
290,25227
291,25328
292,25434
293,25535
294,25637
295,25729
296,25832
297,25933
298,26028
299,26134
300,26237
301,26338
302,26438
303,26540
304,26646
305,26657
306,26746
307,26847
308,26951
309,27054
310,27157
311,27259
312,27269
313,27371
314,27468
315,27574
316,27666
317,27768
318,27875
319,27973
320,28064
321,28164
322,28264
323,28343
324,28446
325,28549
326,28655
327,28761
328,28869
329,28976
330,29076
331,29183
332,29282
333,29394
334,29483
335,29591
336,29700
337,29710
338,29819
339,29928
340,30032
341,30139
342,30247
343,30351
344,32332
345,32430
346,32531
347,32636
348,32736
349,32838
350,32942
351,33040
352,33145
353,33245
354,33342
355,33442
356,33547
357,33648
358,33747
359,33847
360,33942
361,34045
362,34146
363,34226
364,34331
365,34434
366,34537
367,34639
368,34739
369,34841
370,34936
371,35039
372,35136
373,35237
374,35340
375,35443
376,35544
377,35553
378,35663
379,35766
380,35864
381,35963
382,36063
383,36160
384,36263
385,36274
386,36385
387,36486
388,36590
389,36692
390,36798
391,36904
392,37006
393,37086
394,37185
395,37284
396,37384
397,37479
398,37582
399,37684
400,37784
401,37884
402,37920
403,38025
404,38124
405,38223
406,38322
407,38430
408,38529
409,38634
410,38731
411,38832
412,38937
413,39040
414,39144
415,39248
416,39343
417,39443
418,39521
419,39626
420,39728
421,39828
422,39927
423,40031
424,40129
425,40213
426,40314
427,40415
428,40518
429,40618
430,40715
431,40815
432,40916
433,41017
434,41119
435,41222
436,41324
437,41428
438,41528
439,41539
440,41648
441,41752
442,41800
443,41900
444,42005
445,42106
446,42205
447,42310
448,42407
449,42507
450,42606
451,42705
452,42807
453,42913
454,43011
455,43112
456,43123
457,43234
458,43334
459,43435
460,43536
461,43548
462,43655
463,43756
464,43858
465,43954
466,44056
467,44162
468,44264
469,44363
470,44461
471,44565
472,44666
473,44764
474,44870
475,44973
476,45073
477,45085
478,45193
479,45291
480,45390
481,45489
482,45589
483,45691
484,45791
485,45803
486,45915
487,46013
488,46120
489,46222
490,46324
491,46428
492,46439
493,46543
494,46645
495,46748
496,46851
497,46953
498,47049
499,47153
500,47250
501,47355
502,47456
503,47559
504,47661
505,47763
506,47799
507,47905
508,48010
509,48104
510,48209
511,48312
512,48414
513,48518
514,48618
515,48629
516,48737
517,48837
518,48944
519,49047
520,49150
521,49254
522,49356
523,49460
524,49565
525,49664
526,49768
527,49870
528,49881
529,49991
530,50090
531,50192
532,50292
533,50397
534,50502
535,50605
536,50706
537,50718
538,50829
539,50930
540,51034
541,51046
542,51157
543,51255
544,51359
545,51462
546,51567
547,51670
548,51772
549,51873
550,51978
551,52082
552,52184
553,52196
554,52307
555,52407
556,52503
557,52605
558,52705
559,52809
560,52890
561,52993
562,53094
563,53195
564,53300
565,53403
566,53502
567,53608
568,53707
569,53805
570,53907
571,54007
572,54107
573,54212
574,54310
575,54412
576,54514
577,54613
578,54718
579,54818
580,54918
581,55019
582,55122
583,55222
584,55324
585,55426
586,55530
587,55566
588,55669
589,55770
590,55876
591,55979
592,56073
593,56176
594,56280
595,56317
596,56416
597,56520
598,56623
599,56724
600,56825
601,56929
602,57030
603,57134
604,57235
605,57333
606,57343
607,57450
608,57556
609,57656
610,57760
611,57794
612,57894
613,57992
614,58093
615,58197
616,58300
617,58405
618,58505
619,58608
620,58712
621,58815
622,58916
623,59018
624,59119
625,59220
626,59324
627,59336
628,59445
629,59546
630,59648
631,59749
632,59848
633,59860
634,59971
635,60074
636,60179
637,60282
638,60381
639,60484
640,60583
641,60685
642,60784
643,60886
644,60989
645,61093
646,61105
647,61215
648,61314
649,61418
650,61524
651,61626
652,61729
653,61827
654,61926
655,62025
656,62129
657,62232
658,62333
659,62344
660,62355
661,62473
662,62577
663,62678
664,62780
665,62883
666,62984
667,63084
668,63187
669,63285
670,63384
671,63486
672,63590
673,63695
674,63706
675,63818
676,63917
677,64017
678,64118
679,64221
680,64322
681,64423
682,64521
683,64629
684,64728
685,64831
686,64932
687,65038
688,65137
689,65148
690,65260
691,65363
692,65469
693,65572
694,65674
695,65770
696,65869
697,65973
698,66071
699,66156
700,66253
701,66357
702,66460
703,66472
704,66582
705,66679
706,66781
707,66884
708,66985
709,67092
710,67190
711,67294
712,67396
713,67497
714,67579
715,67682
716,67785
717,67887
718,67991
719,68092
720,68196
721,68296
722,68306
723,68414
724,68516
725,68621
726,68721
727,68824
728,68929
729,69028
730,69131
731,69239
732,69342
733,69444
734,69549
735,69630
736,69735
737,69838
738,69934
739,70031
740,70136
741,70234
742,70335
743,70436
744,70537
745,70639
746,70744
747,70755
748,70865
749,70968
750,71070
751,71082
752,71192
753,71291
754,71395
755,71498
756,71602
757,71704
758,71805
759,71906
760,72004
761,72109
762,72121
763,72232
764,72336
765,72442
766,72538
767,72641
768,72743
769,72843
770,72947
771,73051
772,73154
773,73255
774,73359
775,73464
776,73563
777,73664
778,73763
779,73864
780,73967
781,74069
782,74168
783,74272
784,74368
785,74470
786,74572
787,74677
788,74688
789,74799
790,74904
791,75005
792,75017
793,75125
794,75221
795,75323
796,75427
797,75530
798,75633
799,75736
800,75838
801,75938
802,76042
803,76141
804,76244
805,76347
806,76452
807,76555
808,76655
809,76757
810,76851
811,76898
812,77002
813,77103
814,77208
815,77312
816,77415
817,77518
818,77622
819,77725
820,77826
821,77929
822,78036
823,78139
824,78243
825,78345
826,78445
827,78545
828,78580
829,78681
830,78762
831,78864
832,78964
833,79063
834,79168
835,79273
836,79375
837,79477
838,79581
839,79687
840,79788
841,79894
842,80000
843,80104
844,80207
845,80304
846,80410
847,80507
848,80608
849,80620
850,80731
851,80832
852,80936
853,81033
854,81134
855,81238
856,81341
857,81443
858,81550
859,81653
860,81757
861,81862
862,81944
863,82049
864,82152
865,82249
866,82352
867,82454
868,82557
869,82660
870,82760
871,82863
872,82969
873,83070
874,83148
875,83251
876,83358
877,83461
878,83564
879,83668
880,83771
881,83876
882,83914
883,84018
884,84120
885,84227
886,84329
887,84431
888,84530
889,84633
890,84736
891,84838
892,84850
893,84960
894,85060
895,85168
896,85267
897,85370
898,85477
899,85582
900,85679
901,85782
902,85888
903,85991
904,86028
905,86132
906,86239
907,86342
908,86446
909,86553
910,86655
911,86756
912,86861
913,86965
914,87069
915,87176
916,87280
917,87382
918,87468
919,87573
920,87673
921,87775
922,87880
923,87983
924,88086
925,88193
926,88296
927,88332
928,88440
929,88545
930,88557
931,88666
932,88771
933,88874
934,88978
935,89081
936,89185
937,89292
938,89398
939,89500
940,89604
941,89705
942,89805
943,89816
944,89929
945,90035
946,90137
947,90242
948,90347
949,90452
950,90452
951,90556
952,90663
953,90769
954,90872
955,90977
956,91076
957,91184
958,91195
959,91304
960,91408
961,91511
962,91616
963,91723
964,91828
965,91936
966,92039
967,92145
968,92250
969,92348
970,92452
971,92556
972,92662
973,92767
974,92872
975,92978
976,93082
977,93184
978,93269
979,93377
980,93480
981,93585
982,93689
983,93793
984,93897
985,93985
986,94087
987,94195
988,94300
989,94407
990,94512
991,94524
992,94635
993,94740
994,94846
995,94951
996,95057
997,95163
998,95267
999,95371
1000,95479
1001,95583
1002,95685
1003,95793
1004,95793
1005,95897
1006,95981
1007,96085
1008,96190
1009,96296
1010,96400
1011,96505
1012,96613
1013,96719
1014,96826
1015,96912
1016,97020
1017,97127
1018,97232
1019,97341
1020,97448
1021,97535
1022,97644
1023,97749
1024,97857
1025,97963
1026,98069
1027,98176
1028,98284
1029,98392
1030,98403
1031,98521
1032,98627
1033,98736
1034,98844
1035,98950
1036,99059
1037,99167
1038,99272
1039,99377
1040,99480
1041,99480
1042,99492
1043,99609
1044,99716
1045,99824
1046,99933
1047,100042
1048,100147
1049,100252
1050,100263
1051,100379
1052,100486
1053,100595
1054,100703
1055,100808
1056,100915
1057,101023
1058,101128
1059,101235
1060,101339
1061,101446
1062,101446
1063,101552
1064,101659
1065,101767
1066,101876
1067,101983
1068,102021
1069,102130
1070,102239
1071,102346
1072,102453
1073,102559
1074,102665
1075,102774
1076,102882
1077,102988
1078,103001
1079,103118
1080,103118
1081,103227
1082,103265
1083,103373
1084,103482
1085,103591
1086,103698
1087,103802
1088,103909
1089,104017
1090,104125
1091,104125
1092,104230
1093,104230
1094,104338
1095,104351
1096,104465
1097,104574
1098,104681
1099,104788
1100,104801
1101,104917
1102,105023
1103,105132
1104,105240
1105,105346
1106,105455
1107,105563
1108,105671
1109,105775
1110,105775
1111,105882
1112,105989
1113,106095
1114,106203
1115,106242
1116,106349
1117,106457
1118,106563
1119,106669
1120,106776
1121,106882
1122,106990
1123,107097
1124,107097
1125,107204
1126,107290
1127,107397
1128,107397
1129,107502
1130,107609
1131,107714
1132,107820
1133,107927
1134,107927
1135,108034
1136,108047
1137,108159
1138,108267
1139,108375
1140,108375
1141,108482
1142,108590
1143,108698
1144,108804
1145,108911
1146,108924
1147,109038
1148,109144
1149,109144
1150,109144
1151,109251
1152,109358
1153,109396
1154,109505
1155,109610
1156,109610
1157,109717
1158,109825
1159,109931
1160,110039
1161,110039
1162,110146
1163,110234
1164,110234
1165,110341
1166,110448
1167,110555
1168,110663
1169,110769
1170,110876
1171,110984
1172,111091
1173,111199
1174,111199
1175,111307
1176,111415
1177,111521
1178,111560
1179,111669
